nb_neigh_lle,f1_scores_lle,accuracy_scores_lle,elapsed_dr_lle,elapsed_clf_lle,elapsed_tot_lle,nb_neigh_mlle,f1_scores_mlle,accuracy_scores_mlle,elapsed_dr_mlle,elapsed_clf_mlle,elapsed_tot_mlle,f1_scores_raw,accuracy_scores_raw,elapsed_times_raw
8,0.7855132881709224,0.7857142857142857,62.410269021987915,4.23802924156189,66.6482982635498,19,0.3287671232876712,0.4897959183673469,62.390626668930054,4.342191219329834,66.73281788825989,0.7578947368421053,0.7653061224489796,4.328993797302246
9,0.7751355861493535,0.7755102040816326,61.968748807907104,4.375015735626221,66.34376454353333,20,0.5698160535117056,0.5714285714285714,64.69196510314941,5.138786792755127,69.83075189590454,0.7578947368421053,0.7653061224489796,4.328993797302246
10,0.7551020408163265,0.7551020408163265,61.68749976158142,3.521976947784424,65.20947670936584,21,0.805940594059406,0.8061224489795918,64.53124809265137,3.2867801189422607,67.81802821159363,0.7578947368421053,0.7653061224489796,4.328993797302246
11,0.8265125481620329,0.826530612244898,61.76562714576721,3.3825132846832275,65.14814043045044,22,0.805940594059406,0.8061224489795918,64.83207416534424,3.225343942642212,68.05741810798645,0.7578947368421053,0.7653061224489796,4.328993797302246
12,0.7958333333333333,0.7959183673469388,61.87499785423279,3.3749771118164062,65.2499749660492,23,0.7751355861493535,0.7755102040816326,65.546875,3.279223918914795,68.8260989189148,0.7578947368421053,0.7653061224489796,4.328993797302246
13,0.8061022597105071,0.8061224489795918,62.000001430511475,3.3909976482391357,65.39099907875061,24,0.7751355861493535,0.7755102040816326,65.87907004356384,3.1795756816864014,69.05864572525024,0.7578947368421053,0.7653061224489796,4.328993797302246
14,0.8163265306122449,0.8163265306122449,62.3658230304718,3.3839995861053467,65.74982261657715,25,0.7955778055903211,0.7959183673469388,1018.8411781787872,3.1954638957977295,1022.036642074585,0.7578947368421053,0.7653061224489796,4.328993797302246
15,0.8163265306122449,0.8163265306122449,62.391143798828125,3.3859968185424805,65.7771406173706,26,0.7746655518394651,0.7755102040816326,65.25000095367432,3.1477572917938232,68.39775824546814,0.7578947368421053,0.7653061224489796,4.328993797302246
16,0.7958333333333333,0.7959183673469388,62.32812762260437,3.349001169204712,65.67712879180908,27,0.7746655518394651,0.7755102040816326,65.73437094688416,3.225189685821533,68.95956063270569,0.7578947368421053,0.7653061224489796,4.328993797302246
17,0.7551020408163265,0.7551020408163265,62.4375,3.2739951610565186,65.71149516105652,28,0.7746655518394651,0.7755102040816326,65.56250071525574,3.2077770233154297,68.77027773857117,0.7578947368421053,0.7653061224489796,4.328993797302246
18,0.8160200250312891,0.8163265306122449,62.546875953674316,3.4694664478302,66.01634240150452,29,0.7751355861493535,0.7755102040816326,66.04687476158142,3.151190757751465,69.19806551933289,0.7578947368421053,0.7653061224489796,4.328993797302246
19,0.7754166666666666,0.7755102040816326,62.98437023162842,3.969512462615967,66.95388269424438,30,0.7751355861493535,0.7755102040816326,66.47319316864014,3.163454532623291,69.63664770126343,0.7578947368421053,0.7653061224489796,4.328993797302246
20,0.7754166666666666,0.7755102040816326,62.59375262260437,3.6318109035491943,66.22556352615356,31,0.7751355861493535,0.7755102040816326,65.4304735660553,3.199204921722412,68.62967848777771,0.7578947368421053,0.7653061224489796,4.328993797302246
21,0.7751355861493535,0.7755102040816326,62.468748569488525,3.498227596282959,65.96697616577148,32,0.7855132881709224,0.7857142857142857,66.48180317878723,3.1815695762634277,69.66337275505066,0.7578947368421053,0.7653061224489796,4.328993797302246
22,0.7754166666666666,0.7755102040816326,62.60937523841858,3.560821771621704,66.17019701004028,33,0.7855132881709224,0.7857142857142857,65.89528965950012,3.156392812728882,69.051682472229,0.7578947368421053,0.7653061224489796,4.328993797302246
