,states,f1_scores,accuracy_scores,cfms,time
0,RAW:LR:0.12,0.8541327836847415,0.8232335049134301,"[[0.83413323 0.16586677]
 [0.29271613 0.70728387]]",0.12155032157897949
1,RAW:SVM:3.66,0.8576521191663572,0.8282639213851193,"[[0.83989249 0.16010751]
 [0.29543907 0.70456093]]",3.658426284790039
2,LLE:LR:0.01,0.9009624063657401,0.9123771642489471,"[[0.9726755  0.0273245 ]
 [0.72906739 0.27093261]]",40.52120351791382
3,LLE:SVM:0.02,0.8653552363935217,0.8440570893776322,"[[0.87060856 0.12939144]
 [0.43839346 0.56160654]]",40.52935314178467
4,MLLE:LR:0.01,0.9044035929197173,0.9175245671502106,"[[0.97881871 0.02118129]
 [0.73451327 0.26548673]]",40.476112604141235
5,MLLE:SVM:0.02,0.876631847444465,0.8606106691623772,"[[0.8898701 0.1101299]
 [0.4506467 0.5493533]]",40.48505401611328
